breed_id,breed_name,species,current_count,target_count,missing_count,status
buffalo_banni,Banni,buffalo,3,50,47,UNDER_SUPPORTED
buffalo_bargur,Bargur,buffalo,6,50,44,UNDER_SUPPORTED
buffalo_bhadawari,Bhadawari,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_chhattisgarhi,Chhattisgarhi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_chilika,Chilika,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_dharwadi,Dharwadi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_gojri,Gojri,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_gomanchali,Gomanchali,buffalo,3,50,47,UNDER_SUPPORTED
buffalo_jaffarabadi,Jaffarabadi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_kalahandi,Kalahandi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_luit_swamp,Luit (Swamp),buffalo,2,50,48,UNDER_SUPPORTED
buffalo_manah,Manah,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_manda,Manda,buffalo,31,50,19,UNDER_SUPPORTED
buffalo_marathwadi,Marathwadi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_mehsana,Mehsana,buffalo,9,50,41,UNDER_SUPPORTED
buffalo_melghati,Melghati,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_murrah,Murrah,buffalo,10,50,40,UNDER_SUPPORTED
buffalo_nagpuri,Nagpuri,buffalo,11,50,39,UNDER_SUPPORTED
buffalo_nili_ravi,Nili Ravi,buffalo,3,50,47,UNDER_SUPPORTED
buffalo_pandharpuri,Pandharpuri,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_purnathadi,Purnathadi,buffalo,2,50,48,UNDER_SUPPORTED
buffalo_surti,Surti,buffalo,21,50,29,UNDER_SUPPORTED
buffalo_toda,Toda,buffalo,17,50,33,UNDER_SUPPORTED
cow_amritmahal,Amritmahal,cattle,6,50,44,UNDER_SUPPORTED
cow_bachaur,Bachaur,cattle,23,50,27,UNDER_SUPPORTED
cow_badri,Badri,cattle,17,50,33,UNDER_SUPPORTED
cow_bargur,Bargur,cattle,7,50,43,UNDER_SUPPORTED
cow_belahi,Belahi,cattle,2,50,48,UNDER_SUPPORTED
cow_binjharpuri,Binjharpuri,cattle,2,50,48,UNDER_SUPPORTED
cow_dagri,Dagri,cattle,2,50,48,UNDER_SUPPORTED
cow_dangi,Dangi,cattle,43,50,7,UNDER_SUPPORTED
cow_deoni,Deoni,cattle,4,50,46,UNDER_SUPPORTED
cow_gangatiri,Gangatiri,cattle,8,50,42,UNDER_SUPPORTED
cow_gaolao,Gaolao,cattle,33,50,17,UNDER_SUPPORTED
cow_ghumusari,Ghumusari,cattle,1,50,49,UNDER_SUPPORTED
cow_gir,Gir,cattle,31,50,19,UNDER_SUPPORTED
cow_hallikar,Hallikar,cattle,6,50,44,UNDER_SUPPORTED
cow_hariana,Hariana,cattle,3,50,47,UNDER_SUPPORTED
cow_himachali_pahari,Himachali Pahari,cattle,2,50,48,UNDER_SUPPORTED
cow_kangayam,Kangayam,cattle,17,50,33,UNDER_SUPPORTED
cow_kankrej,Kankrej,cattle,15,50,35,UNDER_SUPPORTED
cow_kathani,Kathani,cattle,2,50,48,UNDER_SUPPORTED
cow_kenkatha,Kenkatha,cattle,2,50,48,UNDER_SUPPORTED
cow_khariar,Khariar,cattle,1,50,49,UNDER_SUPPORTED
cow_kherigarh,Kherigarh,cattle,2,50,48,UNDER_SUPPORTED
cow_khillar,Khillar,cattle,2,50,48,UNDER_SUPPORTED
cow_konkan_kapila,Konkan Kapila,cattle,2,50,48,UNDER_SUPPORTED
cow_koppal,Koppal,cattle,3,50,47,UNDER_SUPPORTED
cow_kosali,Kosali,cattle,1,50,49,UNDER_SUPPORTED
cow_krishna_valley,Krishna Valley,cattle,2,50,48,UNDER_SUPPORTED
